7_days,14_days,target
4.957142857142857,4.6692857142857145,4.0
5.194285714285714,4.812142857142858,2.67
5.1000000000000005,4.740714285714286,4.0
5.622857142857143,5.122142857142856,3.0
5.194285714285714,5.050714285714286,5.34
4.622857142857143,4.907857142857144,4.34
4.385714285714285,4.622142857142857,2.0
4.5285714285714285,4.742857142857143,1.0
4.0528571428571425,4.623571428571428,3.0
4.147142857142858,4.623571428571428,2.0
3.6699999999999995,4.646428571428571,2.0
3.6214285714285714,4.407857142857143,6.34
3.6699999999999995,4.146428571428571,4.34
3.6214285714285714,4.003571428571428,6.0
3.192857142857143,3.8607142857142853,3.33
3.2399999999999998,3.6464285714285714,6.0
2.954285714285714,3.5507142857142857,7.02
2.8114285714285714,3.240714285714286,3.0
2.954285714285714,3.2878571428571424,1.34
2.954285714285714,3.3121428571428573,4.34
3.525714285714286,3.573571428571429,2.0
3.858571428571428,3.525714285714286,5.34
4.2871428571428565,3.7635714285714283,7.0
5.0042857142857144,3.9792857142857136,7.34
5.147142857142858,3.9792857142857136,0.0
4.432857142857143,3.6935714285714285,1.34
4.432857142857143,3.693571428571428,5.34
3.8614285714285717,3.693571428571428,6.34
4.148571428571429,4.003571428571428,2.0
4.291428571428571,4.289285714285714,3.0
4.337142857142857,4.670714285714285,4.34
3.9085714285714284,4.527857142857143,4.0
3.9085714285714284,4.170714285714285,1.34
4.051428571428572,4.242142857142857,3.33
4.671428571428572,4.2664285714285715,4.34
4.194285714285714,4.171428571428572,0.0
3.6228571428571428,3.957142857142857,7.34
3.1942857142857144,3.7657142857142856,4.0
3.7657142857142856,3.837142857142857,1.67
3.7657142857142856,3.837142857142857,3.0
3.4785714285714286,3.7649999999999997,7.34
3.1928571428571426,3.932142857142857,3.33
2.9071428571428575,3.5507142857142857,2.0
3.527142857142857,3.5749999999999997,2.0
3.4785714285714286,3.336428571428571,5.0
3.1457142857142864,3.4557142857142855,2.0
3.382857142857143,3.5742857142857143,4.34
3.9557142857142855,3.7171428571428575,3.68
3.8114285714285714,3.5021428571428572,1.0
4.097142857142857,3.5021428571428572,2.34
3.334285714285714,3.4307142857142856,5.34
3.4771428571428573,3.4778571428571428,2.34
3.5242857142857145,3.335,3.34
3.7157142857142857,3.549285714285714,8.34
3.192857142857143,3.5742857142857143,1.0
2.86,3.3357142857142854,2.0
2.9085714285714284,3.5028571428571427,3.68
3.3857142857142857,3.36,5.0
3.005714285714286,3.2414285714285715,3.0
3.197142857142857,3.3607142857142853,2.0
3.7685714285714282,3.742142857142857,2.68
3.3857142857142857,3.289285714285714,0.0
3.5285714285714285,3.1942857142857144,1.34
3.7199999999999998,3.314285714285714,4.0
3.6714285714285713,3.5285714285714285,3.02
3.7657142857142856,3.3857142857142857,5.67
3.5742857142857143,3.3857142857142857,1.0
2.7657142857142856,3.2671428571428573,4.0
2.6228571428571428,3.0042857142857144,3.0
2.5285714285714285,3.0285714285714285,1.0
2.5742857142857143,3.147142857142857,0.34
2.2914285714285714,2.9814285714285718,5.0
2.672857142857143,3.2192857142857143,9.0
2.5300000000000002,3.0521428571428575,1.0
2.718571428571429,2.742142857142857,6.33
3.1471428571428572,2.8850000000000002,8.68
3.0985714285714288,2.8135714285714286,4.34
2.575714285714286,2.5749999999999997,4.34
2.858571428571428,2.5749999999999997,1.0
3.334285714285714,3.0035714285714286,4.0
3.334285714285714,2.932142857142857,0.34
3.6671428571428573,3.192857142857143,4.34
4.478571428571429,3.8128571428571427,5.0
4.9557142857142855,4.027142857142858,2.0
5.527142857142857,4.051428571428572,3.0
4.9557142857142855,3.9071428571428575,7.34
4.241428571428571,3.787857142857143,6.0
4.147142857142858,3.7407142857142857,4.0
3.8628571428571425,3.7649999999999997,2.34
3.337142857142857,3.9078571428571425,3.0
3.0028571428571422,3.9792857142857136,8.0
2.8114285714285714,4.1692857142857145,3.0
3.7171428571428575,4.336428571428572,4.34
4.002857142857144,4.122142857142857,0.34
4.525714285714286,4.336428571428572,0.0
4.24,4.051428571428572,6.0
3.954285714285714,3.6457142857142864,4.34
4.811428571428571,3.9071428571428575,3.0
4.811428571428571,3.8114285714285714,2.33
4.382857142857143,4.05,4.34
3.5742857142857143,3.788571428571429,3.34
3.002857142857143,3.7642857142857147,4.0
3.525714285714286,3.882857142857143,2.0
3.7171428571428566,3.8357142857142854,6.34
3.0028571428571422,3.9071428571428575,3.0
2.907142857142857,3.8592857142857144,2.33
2.907142857142857,3.645,2.0
3.3357142857142854,3.4549999999999996,8.34
3.907142857142857,3.4549999999999996,2.0
3.335714285714286,3.4307142857142856,5.0
3.621428571428571,3.6692857142857145,3.34
3.6214285714285714,3.3121428571428573,4.0
3.6214285714285714,3.2642857142857147,2.0
3.287142857142857,3.097142857142857,9.0
4.001428571428571,3.6685714285714286,7.33
3.7157142857142853,3.8114285714285714,3.0
4.144285714285714,3.7399999999999998,3.0
3.7157142857142853,3.6685714285714286,5.0
3.858571428571428,3.7399999999999998,2.67
3.8114285714285714,3.7164285714285716,5.34
4.811428571428571,4.049285714285714,5.0
4.667142857142857,4.3342857142857145,4.0
4.8100000000000005,4.2628571428571425,3.0
4.524285714285714,4.3342857142857145,2.0
4.761428571428572,4.238571428571428,2.34
4.571428571428571,4.215,0.68
5.048571428571428,4.43,3.0
4.477142857142857,4.644285714285714,2.0
4.001428571428571,4.334285714285714,5.0
4.001428571428571,4.405714285714285,5.0
3.858571428571428,4.191428571428571,4.0
3.4785714285714286,4.12,2.0
3.1942857142857144,3.882857142857143,6.0
2.8600000000000003,3.954285714285714,3.34
2.4314285714285715,3.454285714285714,5.02
2.5742857142857143,3.287857142857143,4.0
2.86,3.4307142857142856,4.0
3.1457142857142855,3.5021428571428572,8.0
3.097142857142857,3.287857142857143,0.0
3.857142857142857,3.525714285714286,1.34
3.9057142857142857,3.382857142857143,4.0
4.337142857142857,3.384285714285714,4.34
4.194285714285714,3.384285714285714,8.0
4.051428571428572,3.4557142857142855,0.34
4.622857142857143,3.884285714285714,4.34
4.337142857142857,3.717142857142857,11.34
3.6714285714285713,3.7642857142857147,5.34
3.7657142857142856,3.835714285714286,3.0
3.6685714285714286,4.002857142857143,6.34
4.24,4.217142857142857,3.0
3.717142857142857,3.8842857142857143,3.0
3.1942857142857144,3.9085714285714284,4.01
4.814285714285715,4.575714285714286,2.34
5.385714285714285,4.5285714285714285,3.34
5.242857142857143,4.5042857142857144,2.34
5.528571428571429,4.598571428571428,6.34
4.814285714285715,4.527142857142857,3.68
5.194285714285714,4.4557142857142855,0.0
5.147142857142858,4.170714285714285,3.34
3.8614285714285717,4.337857142857143,2.34
3.575714285714286,4.480714285714286,7.0
3.481428571428571,4.3621428571428575,5.68
3.481428571428571,4.505,4.0
3.5785714285714287,4.196428571428571,5.34
3.15,4.172142857142857,2.0
3.0542857142857143,4.100714285714285,1.0
3.0542857142857143,3.4578571428571427,6.34
3.577142857142857,3.5764285714285715,4.34
4.054285714285714,3.767857142857143,0.0
3.7199999999999998,3.6007142857142855,2.68
3.9571428571428564,3.7678571428571423,3.0
4.242857142857142,3.6964285714285716,1.34
3.9085714285714284,3.481428571428571,1.34
4.4799999999999995,3.7671428571428573,4.0
4.1,3.838571428571428,2.34
3.288571428571428,3.6714285714285713,3.0
3.1,3.4099999999999997,2.0
2.7657142857142856,3.361428571428571,4.34
2.6714285714285713,3.457142857142857,1.0
2.72,3.314285714285714,3.34
2.3857142857142857,3.4328571428571424,3.0
2.1,3.1,6.0
2.5285714285714285,2.9085714285714284,4.68
2.4314285714285715,2.7657142857142856,4.0
2.6228571428571428,2.6942857142857144,4.0
2.5742857142857143,2.6228571428571428,0.34
2.86,2.79,7.0
2.717142857142857,2.551428571428571,10.0
3.2399999999999998,2.6700000000000004,2.34
3.48,3.0042857142857144,2.0
3.7657142857142856,3.0985714285714288,4.33
3.717142857142857,3.1700000000000004,4.68
3.6228571428571428,3.0985714285714283,2.0
4.145714285714286,3.5028571428571427,5.34
5.145714285714285,3.931428571428572,3.0
4.622857142857143,3.9314285714285715,3.68
4.24,3.86,1.0
4.2871428571428565,4.026428571428571,4.34
4.384285714285714,4.050714285714286,3.34
4.621428571428572,4.122142857142857,3.0
4.384285714285714,4.265,1.68
3.384285714285714,4.265,3.0
3.575714285714286,4.099285714285714,1.33
3.432857142857143,3.8364285714285713,6.775
3.434285714285714,3.8607142857142853,3.0
3.2428571428571433,3.8135714285714286,4.0
3.385714285714286,4.003571428571429,3.33
